outlet,competitor,url,published_at,channel,section,author,words,chars,sentences,sent_len_mean,sent_len_median,long_sentence_share,paragraphs,par_len_sentences_mean,flesch_ru,fkgl_ru,passive_per_1000,bureaucratic_per_1000,nominalization_per_1000,numbers_per_1000,percents_per_1000,dates_per_1000,quotes,attributions,links_external,links_internal,images,videos,title_words,title_chars,title_type,lead_words,lead_type,headings,headings_per_1000,structure,genre,named_sources,named_sources_per_1000,anonymous_sources,primary_doc_links,verifiable,opinion_marked,evaluative_in_news,update_mark,modified_meta,modified_gap_hours,primacy,fact_opinion_mixed
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/08/argentina-egypt,2026-07-08T01:01:57+05:00,site,,Дмитрий Поваров; Gazeta,742,4993,48,14.73,13.0,0.125,18,2.78,43.4,11.9,63.34,1.35,8.09,41.78,1.35,0.0,2,0,0,0,0,0,9,78,утверждение,39,фактологический,0,0.0,перевёрнутая пирамида,расширенная новость,0,0.0,0,0,False,False,0,False,True,34.22,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/08/infant-mortality,2026-07-08T13:19:26+05:00,site,,Gazeta,825,6287,47,16.7,15.0,0.128,26,1.88,11.5,17.0,73.94,1.21,40.0,35.15,6.06,4.85,6,12,0,3,0,0,19,130,утверждение,38,фактологический,3,3.64,разбор по пунктам,объяснитель,6,7.27,0,0,False,False,0,False,True,0.07,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/08/uzum-tezkor,2026-07-08T18:00:53+05:00,site,,,350,2680,23,14.52,13.0,0.087,9,2.56,19.0,15.3,94.29,2.86,28.57,40.0,5.71,0.0,0,0,0,0,0,0,8,59,утверждение,45,отложенный,0,0.0,nut graf,расширенная новость,0,0.0,0,0,False,False,0,False,True,-1.0,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/08/uzcard,2026-07-08T19:00:56+05:00,site,,,420,3694,20,19.85,20.5,0.25,12,1.67,-22.0,22.7,73.81,11.9,90.48,21.43,0.0,7.14,4,4,0,0,0,0,11,86,утверждение,44,фактологический,0,0.0,перевёрнутая пирамида,интервью,4,9.52,0,0,False,False,0,False,True,-1.25,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/08/play,2026-07-08T19:45:25+05:00,site,,Gazeta,463,3524,23,19.74,14.0,0.304,13,1.77,19.0,16.9,69.11,2.16,32.4,8.64,0.0,8.64,4,7,1,1,0,0,11,58,утверждение,20,фактологический,0,0.0,перевёрнутая пирамида,расширенная новость,3,6.48,0,0,False,False,0,False,True,0.17,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/09/blackrock-uzbekistan,2026-07-09T10:44:47+05:00,site,,Gazeta,328,2630,20,15.9,15.0,0.1,12,1.58,8.5,17.2,91.46,3.05,30.49,15.24,0.0,6.1,6,8,2,3,0,0,11,88,утверждение,21,фактологический,0,0.0,перевёрнутая пирамида,новость,6,18.29,0,1,True,False,0,False,True,0.03,собственный сбор,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/09/mobiuz,2026-07-09T11:00:41+05:00,site,,,321,2361,21,14.86,14.0,0.095,10,2.1,28.4,14.1,84.11,3.12,18.69,31.15,9.35,12.46,0,0,3,0,0,0,10,59,утверждение,42,отложенный,2,6.23,nut graf,новость,0,0.0,0,0,False,False,0,False,True,-20.8,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/09/mirziyoyev-lukashenko,2026-07-09T15:40:11+05:00,site,,Gazeta,804,5812,58,13.43,14.0,0.017,25,2.32,30.9,13.3,79.6,4.98,29.85,12.44,1.24,2.49,13,18,1,0,0,0,13,101,утверждение,24,фактологический,0,0.0,перевёрнутая пирамида,расширенная новость,6,7.46,0,0,False,False,0,False,True,5.0,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/09/law,2026-07-09T19:23:59+05:00,site,,Gazeta,933,7138,47,19.36,18.0,0.255,32,1.53,8.4,18.3,86.82,5.36,62.17,15.01,0.0,1.07,10,11,1,5,1,0,14,106,утверждение,21,фактологический,3,3.22,разбор по пунктам,расширенная новость,10,10.72,0,1,True,False,0,False,True,0.0,собственный сбор,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/09/sumitomo,2026-07-09T19:42:47+05:00,site,,Gazeta,201,1671,10,19.7,20.0,0.1,7,1.29,-4.9,20.3,94.53,0.0,29.85,19.9,0.0,14.93,0,2,1,3,0,0,11,96,утверждение,30,фактологический,0,0.0,перевёрнутая пирамида,новость,2,9.95,0,1,True,False,0,False,True,0.0,собственный сбор,False
