outlet,материалов,заголовок_знаков,заголовок_до_60,заголовок_свыше_90,лид_слов,лид_знаков,лид_в_норме_слов,лид_одно_предложение,ошибка_цитата,ошибка_вопрос,ошибка_протокол,ошибка_перегруз,атрибуций,нейтральных_доля,с_усилительными,с_оценочными,с_родит_цепочкой,с_расщепл_сказуемым,слогов_на_слово,есть_концовка
Daryo.uz,108,68.0,0.306,0.148,20.5,152.5,0.398,0.5,0.0,0.0,0.009,0.056,1.0,0.694,0.25,0.046,0.056,0.046,2.795,0.0
Gazeta.uz,120,79.0,0.175,0.275,29.0,228.5,0.6,0.292,0.025,0.0,0.0,0.2,1.0,0.72,0.4,0.067,0.108,0.117,2.84,0.008
Kun.uz,115,68.0,0.33,0.087,28.0,221.0,0.322,0.47,0.052,0.0,0.0,0.374,1.0,0.705,0.261,0.052,0.061,0.096,2.92,0.0
LEAP News,303,74.0,0.01,0.0,29.0,211.0,0.878,0.871,0.0,0.0,0.0,0.066,2.0,0.921,0.119,0.073,0.073,0.046,2.73,0.518
Podrobno.uz,116,78.0,0.112,0.164,30.0,242.0,0.672,0.19,0.0,0.0,0.009,0.155,1.0,0.501,0.284,0.103,0.155,0.086,2.92,0.0
Repost.uz,118,65.0,0.398,0.11,20.0,152.0,0.492,0.602,0.0,0.0,0.008,0.059,1.5,0.823,0.246,0.076,0.068,0.034,2.84,0.0
Spot.uz,120,76.0,0.1,0.092,22.5,178.0,0.492,0.392,0.0,0.0,0.008,0.117,1.0,0.689,0.383,0.033,0.108,0.042,2.845,0.008
UzNews.uz,93,72.0,0.194,0.118,24.0,189.0,0.548,0.602,0.022,0.0,0.011,0.108,1.0,0.654,0.215,0.065,0.108,0.065,2.87,0.0
Yuz.uz,118,80.5,0.237,0.339,27.5,218.5,0.458,0.602,0.051,0.0,0.042,0.203,0.0,0.637,0.144,0.034,0.127,0.127,3.01,0.0
