outlet,материалов,слов_медиана,слов_среднее,предложение_слов,длинных_предложений,абзац_предложений,flesch_ru,fkgl_ru,пассив_1000,канцелярит_1000,номинализации_1000,цифры_1000,цитат,атрибуций,ссылок_наружу,ссылок_внутрь,картинок,заголовок_слов,лид_слов,подзаголовков_1000,named_sources_1000,проверяемых_доля,помечено_обновление,метка_CMS_modified
Daryo.uz,108,157.5,209.16,15.07,0.0,1.6,18.4,15.6,84.57,0.0,24.62,46.54,0.0,1.0,1.0,0.0,1.0,9.5,20.5,0.0,4.66,0.3,0.02,1.0
Gazeta.uz,120,330.0,429.58,15.85,0.1,1.72,14.4,16.2,87.01,3.8,35.64,32.58,1.0,2.0,1.0,1.0,0.0,11.0,29.0,0.0,4.96,0.32,0.0,0.99
Kun.uz,115,145.0,211.49,17.14,0.12,1.71,9.1,17.5,97.89,6.94,40.65,34.48,0.0,1.0,1.0,0.0,0.0,9.0,28.0,0.0,3.95,0.25,0.03,0.0
LEAP News,303,290.0,313.47,19.0,0.2,2.0,16.6,17.1,88.89,0.0,31.8,51.36,1.0,3.0,5.0,0.0,1.0,11.0,29.0,10.58,6.9,0.62,0.0,0.0
Podrobno.uz,116,187.0,239.35,16.0,0.09,1.83,11.05,17.0,92.02,4.23,36.48,20.51,0.0,1.0,1.0,1.0,0.0,10.0,30.0,0.0,2.33,0.21,0.01,0.0
Repost.uz,118,128.5,175.84,16.16,0.09,1.33,14.0,16.6,86.34,3.78,35.29,30.72,0.0,2.0,2.0,0.0,1.0,9.0,20.0,0.0,7.72,0.18,0.03,1.0
Spot.uz,120,282.0,323.18,16.09,0.09,1.68,14.8,16.6,89.26,3.96,34.82,35.81,1.0,2.0,1.0,1.5,0.0,11.0,22.5,0.0,4.11,0.38,0.01,0.97
UzNews.uz,93,150.0,178.63,16.8,0.12,1.5,12.2,16.9,86.51,7.75,41.15,33.33,0.0,1.0,1.0,0.0,0.0,10.0,24.0,0.0,4.33,0.26,0.0,0.0
Yuz.uz,118,160.0,351.35,19.51,0.2,1.42,1.35,19.3,89.22,9.66,39.08,28.74,0.0,1.0,1.0,0.0,0.0,10.0,27.5,0.0,0.0,0.25,0.02,0.0
