событие,сюжет,первым,изданий,дата,где потеряли,следы,в_инбоксе
Спутник Samarkand-2028 запустят на орбиту 5 августа,спутник Samarkand-2028,UzNews.uz,5,2026-08-03T19:33,опубликовано,https://leap.uz/ru/2026/08/04/samarkand-2028-satellite-launch; https://leap.uz/ru/2026/08/05/samarkand-2028-orbit-confirmed,36
В Ташкенте проведут служебную проверку в отношении хокимов десяти районов,служебная проверка хокимов 10 районов,UzNews.uz,5,2026-08-04T10:05,осталось в очереди,content/needs-verification/tashkent-10-district-hokims-service-inspection.md,27
"Присвоено 7,4 млрд сумов: вынесен приговор по делу об обрушении путепровода в Ташкенте",приговор по обрушению путепровода,UzNews.uz,5,2026-08-04T18:27,отклонено редакцией,content/rejected/tashkent-temur-malik-overpass-verdict.md; content/rejected/tashkent-putepovod-collapse-verdict-fines.md,8
США введут визовые залоги до $20 тысяч на постоянной основе,визовые залоги США,Repost.uz,4,2026-08-01T15:37,"был в инбоксе, не взят в работу",2026-08-01.jsonl; 2026-08-03.jsonl; world-2026-08-02.jsonl,21
"В международный аэропорт Ташкента специальным чартерным рейсом доставлены 18 граждан Узбекистана, депортированных из США за",депортация граждан чартером из США,Podrobno.uz,4,2026-08-02T13:14,опубликовано,https://leap.uz/ru/2026/08/02/us-deportation-18-uzbek-citizens,7
"В Сырдарье отменили штраф девушке, которая кричала, защищаясь от домогательств",штраф девушке в Сырдарье,UzNews.uz,4,2026-08-03T20:03,"разбиралось, решения нет",.review/editor-verdict-syrdarya-harassment-fine-overturned.md,11
По факту сноса дома и строительства ЖК New Port в Ташкенте возбуждено уголовное дело,уголовное дело по ЖК New Port,Spot.uz,4,2026-08-04T11:33,опубликовано,https://leap.uz/ru/2026/08/04/yakkasaray-new-port-demolition-case; https://leap.uz/ru/2026/08/06/newport-tashkent-unregistered-construction,39
Kia Uzbekistan опубликовала условия рассрочки платежа,рассрочка Kia Uzbekistan,UzNews.uz,4,2026-08-04T13:00,"был в инбоксе, не взят в работу",2026-08-01.jsonl; 2026-08-04.jsonl; seen.jsonl,14
