outlet,city,culture,economy,gov,incidents,other,society,tech,world
Daryo.uz,0.278,0.111,0.167,0.111,0.102,0.0,0.102,0.065,0.065
Gazeta.uz,0.225,0.033,0.292,0.15,0.108,0.0,0.058,0.1,0.033
Kun.uz,0.191,0.043,0.209,0.191,0.191,0.0,0.087,0.026,0.061
LEAP News,0.158,0.02,0.356,0.149,0.106,0.0,0.076,0.023,0.112
Podrobno.uz,0.147,0.078,0.284,0.164,0.172,0.0,0.078,0.017,0.06
Repost.uz,0.169,0.042,0.161,0.178,0.178,0.008,0.068,0.017,0.178
Spot.uz,0.225,0.058,0.433,0.092,0.033,0.0,0.017,0.092,0.05
UzNews.uz,0.183,0.032,0.28,0.097,0.237,0.0,0.075,0.032,0.065
Yuz.uz,0.203,0.136,0.186,0.11,0.119,0.017,0.127,0.042,0.059
